objects_actual,fifo_miss_ratio,lru_miss_ratio,sieve_miss_ratio,sieve_vs_fifo_percent,sieve_vs_lru_percent
19595,0.8868,0.8832,0.869,2.007216959855665,1.6077898550724625
19596,0.8877,0.884,0.8703,1.9601216627239022,1.5497737556561137
19597,0.8868,0.883,0.8692,1.9846639603067275,1.5628539071347716
19598,0.8868,0.8831,0.8697,1.928281461434371,1.5173819499490395
19601,0.8876,0.8837,0.8692,2.0730058584948146,1.6408283354079516
19602,0.8876,0.8838,0.8694,2.050473186119873,1.6293279022403346
19607,0.8872,0.8836,0.8693,2.0175834084761077,1.6183793571752025
19610,0.8877,0.884,0.8692,2.084037400022538,1.6742081447963841
19614,0.8874,0.8836,0.8702,1.9382465629930128,1.5165233137166227
19621,0.8871,0.8833,0.8698,1.9501747266373555,1.5283595607381362
19646,0.6311,0.601,0.5262,16.621771510061794,12.445923460898499
19653,0.631,0.6005,0.5248,16.830427892234542,12.606161532056618
19654,0.6313,0.601,0.5264,16.616505623316964,12.412645590682196
19674,0.6322,0.6021,0.5272,16.608668142992723,12.439794054143825
19679,0.6327,0.6026,0.5271,16.69037458511143,12.529040823099901
19711,0.6303,0.6,0.5257,16.595272092654294,12.38333333333334
19732,0.6309,0.6005,0.5248,16.817245205262317,12.606161532056618
19739,0.6327,0.6025,0.5281,16.532321795479692,12.348547717842326
19756,0.633,0.603,0.5283,16.540284360189574,12.388059701492535
19763,0.6337,0.6035,0.5285,16.600915259586564,12.427506213753118
19775,0.9002,0.8996,0.8974,0.311041990668743,0.2445531347265429
19781,0.8997,0.899,0.8957,0.44459264199177545,0.3670745272524994
19783,0.8997,0.8989,0.8964,0.36678892964322335,0.2781176994103969
19787,0.8994,0.8986,0.8966,0.31131865688236876,0.22256843979523724
19794,0.9,0.8993,0.8962,0.42222222222222505,0.3447125542088281
19796,0.6312,0.6009,0.5261,16.650823827629907,12.44799467465468
19799,0.8996,0.8989,0.8967,0.3223654957758896,0.24474357548114134
19803,0.9002,0.8994,0.8966,0.3999111308598142,0.31131865688236876
19804,0.6319,0.6018,0.527,16.600727963285326,12.429378531073443
19805,0.8989,0.8982,0.8967,0.24474357548114134,0.16700066800266597
19806,0.6312,0.601,0.5267,16.555766793409386,12.362728785357744
19809,0.8997,0.8989,0.896,0.41124819384239597,0.3226165313160545
19810,0.8998,0.8992,0.8967,0.344521004667703,0.27802491103202254
19812,0.8996,0.8987,0.896,0.4001778568252486,0.3004339601646863
19813,0.8993,0.8986,0.8967,0.2891137551428818,0.21144001780546423
19814,0.8106,0.8,0.7731,4.626202812731307,3.3625000000000043
19816,0.8993,0.8985,0.8963,0.3335927943956414,0.24485253199777185
19817,0.8997,0.8989,0.8961,0.4001333777926028,0.3114918233396401
19821,0.8998,0.8991,0.8969,0.32229384307624065,0.2446891335780202
19824,0.8997,0.8989,0.8972,0.2778704012448658,0.1891200355990694
19830,0.6321,0.6018,0.5265,16.7062173706692,12.512462612163516
19834,0.633,0.6029,0.5282,16.55608214849921,12.39011444684027
19835,0.6334,0.6031,0.528,16.64035364698452,12.452329630243732
19896,0.6316,0.6013,0.526,16.71944268524383,12.522867121237308
22493,0.7724,0.7519,0.6852,11.289487312273426,8.870860486766855
22511,0.7725,0.7521,0.6856,11.249190938511324,8.841909320569073
22530,0.7736,0.7534,0.6866,11.246122026887278,8.86647199362888
22541,0.7733,0.7528,0.6864,11.237553342816497,8.820403825717325
22554,0.774,0.7537,0.6862,11.343669250645993,8.955817964707444
22561,0.7742,0.7541,0.6876,11.185740118832346,8.818459090306325
22563,0.7731,0.7525,0.6864,11.214590609235545,8.784053156146172
22564,0.7724,0.752,0.6854,11.263593992749867,8.856382978723405
22575,0.7737,0.7534,0.6877,11.115419413209263,8.720467215290679
